          ;       11496;   ;Filtro    ;Inicio                                  ;10022017      ;123816;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       11496;   ;Filtro    ;tbk_param.txt                           ;10022017      ;123816;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       11496;   ;Filtro    ;Terminado                               ;10022017      ;123816;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
673029684 ;       11496;   ;pago      ;inicio                                  ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
673029684 ;       11496;   ;pago      ;https://webpay3gint.transbank.cl        ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
673029684 ;       11496;   ;pago      ;https://webpay3gint.transbank.cl        ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
673029684 ;       11496;   ;pago      ;https://webpay3gint.transbank.cl        ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
673029684 ;       11496;   ;pago      ;https://webpay3gint.transbank.cl        ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
673029684 ;       11496;   ;pago      ;https://webpay3gint.transbank.cl        ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
673029684 ;       11496;   ;pago      ;https://webpay3gint.transbank.cl        ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
673029684 ;       11496;   ;pago      ;https://webpay3gint.transbank.cl        ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
673029684 ;       11496;   ;pago      ;https://webpay3gint.transbank.cl        ;10022017      ;123816;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;       11509;   ;resultado ;Desencriptando                          ;10022017      ;123944;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       11509;   ;resultado ;Validacion                              ;10022017      ;123944;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       11509;   ;resultado ;71                                      ;10022017      ;123944;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;       11509;   ;resultado ;71                                      ;10022017      ;123944;200.10.14.177  ;OK ;                    ;http://testing.4tiempos.cl/modules/webpaykcc/validate.php               
673029684 ;       11509;   ;transacc  ;673029684                               ;10022017      ;123944;200.10.14.177  ;OK ;597026007976        ;conectandose al port :(80)                                              
673029684 ;       11509;   ;resultado ;logro abrir_conexion                    ;10022017      ;123944;200.10.14.177  ; 0 ;597026007976        ;Abrio socket para conex-com                                             
673029684 ;       11509;   ;transacc  ;673029684                               ;10022017      ;123944;200.10.14.177  ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
673029684 ;       11509;   ;transacc  ;673029684                               ;10022017      ;123944;200.10.14.177  ;OK ;597026007976        ;mensaje enviado                                                         
673029684 ;       11509;   ;transacc  ;673029684                               ;10022017      ;123944;200.10.14.177  ;OK ;597026007976        ;Llego ACK del Comercio                                                  
673029684 ;       11509;   ;resultado ;71                                      ;10022017      ;123944;200.10.14.177  ;OK ;597026007976        ;tienda acepto transaccion                                               
673029684 ;       11509;   ;resultado ;71                                      ;10022017      ;123944;200.10.14.177  ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
673029684 ;       11509;   ;resultado ;71                                      ;10022017      ;123944;200.10.14.177  ;OK ;597026007976        ;Todo OK                                                                 
