          ;         674;   ;Filtro    ;Inicio                                  ;28102016      ;133428;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;         674;   ;Filtro    ;tbk_param.txt                           ;28102016      ;133428;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;         674;   ;Filtro    ;Terminado                               ;28102016      ;133428;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
766166838 ;         674;   ;pago      ;inicio                                  ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
766166838 ;         674;   ;pago      ;https://certificacion.webpay.cl         ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
766166838 ;         674;   ;pago      ;https://certificacion.webpay.cl         ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
766166838 ;         674;   ;pago      ;https://certificacion.webpay.cl         ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
766166838 ;         674;   ;pago      ;https://certificacion.webpay.cl         ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
766166838 ;         674;   ;pago      ;https://certificacion.webpay.cl         ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
766166838 ;         674;   ;pago      ;https://certificacion.webpay.cl         ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
766166838 ;         674;   ;pago      ;https://certificacion.webpay.cl         ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
766166838 ;         674;   ;pago      ;https://certificacion.webpay.cl         ;28102016      ;133428;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;         675;   ;resultado ;Desencriptando                          ;28102016      ;133522;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;         675;   ;resultado ;Validacion                              ;28102016      ;133522;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;         675;   ;resultado ;48                                      ;28102016      ;133522;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;         675;   ;resultado ;48                                      ;28102016      ;133522;200.10.12.55   ;OK ;                    ;http://testing.4tiempos.cl/modules/webpaykcc/validate.php               
766166838 ;         675;   ;transacc  ;766166838                               ;28102016      ;133522;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
766166838 ;         675;   ;resultado ;logro abrir_conexion                    ;28102016      ;133522;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
766166838 ;         675;   ;transacc  ;766166838                               ;28102016      ;133522;200.10.12.55   ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
766166838 ;         675;   ;transacc  ;766166838                               ;28102016      ;133522;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;         676;   ;check_mac ;                                        ;28102016      ;133522;EMPTY          ;OK ;                    ;Todo OK                                                                 
          ;         675;   ;resultado ;48                                      ;28102016      ;133523;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;         675;   ;resultado ;48                                      ;28102016      ;133523;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
766166838 ;         675;   ;resultado ;datoscom                                ;28102016      ;133523;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;         675;   ;resultado ;48                                      ;28102016      ;133523;200.10.12.55   ;ERR;                    ;46                                                                      
