7961111   ;       15635;   ;transacc  ;7961111                                 ;25112016      ;131355;200.10.12.55   ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
7961111   ;       15635;   ;transacc  ;7961111                                 ;25112016      ;131355;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       15636;   ;check_mac ;                                        ;25112016      ;131355;EMPTY          ;OK ;                    ;Todo OK                                                                 
7961111   ;       15635;   ;transacc  ;7961111                                 ;25112016      ;131356;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
7961111   ;       15635;   ;resultado ;56                                      ;25112016      ;131356;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
7961111   ;       15635;   ;resultado ;56                                      ;25112016      ;131356;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
7961111   ;       15635;   ;resultado ;56                                      ;25112016      ;131356;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       15639;   ;Filtro    ;Inicio                                  ;25112016      ;131520;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15639;   ;Filtro    ;tbk_param.txt                           ;25112016      ;131520;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       15639;   ;Filtro    ;Terminado                               ;25112016      ;131520;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
007972067 ;       15639;   ;pago      ;inicio                                  ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
007972067 ;       15639;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
007972067 ;       15639;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
007972067 ;       15639;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
007972067 ;       15639;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
007972067 ;       15639;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
007972067 ;       15639;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;131520;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
