          ;       24006;   ;Filtro    ;Inicio                                  ;06022017      ;202550;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       24006;   ;Filtro    ;tbk_param.txt                           ;06022017      ;202550;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       24006;   ;Filtro    ;Terminado                               ;06022017      ;202550;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
641275072 ;       24006;   ;pago      ;inicio                                  ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
641275072 ;       24006;   ;pago      ;https://certificacion.webpay.cl         ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
641275072 ;       24006;   ;pago      ;https://certificacion.webpay.cl         ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
641275072 ;       24006;   ;pago      ;https://certificacion.webpay.cl         ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
641275072 ;       24006;   ;pago      ;https://certificacion.webpay.cl         ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
641275072 ;       24006;   ;pago      ;https://certificacion.webpay.cl         ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
641275072 ;       24006;   ;pago      ;https://certificacion.webpay.cl         ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
641275072 ;       24006;   ;pago      ;https://certificacion.webpay.cl         ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
641275072 ;       24006;   ;pago      ;https://certificacion.webpay.cl         ;06022017      ;202550;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
