          ;       15147;   ;Filtro    ;Inicio                                  ;16112016      ;185754;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15147;   ;Filtro    ;tbk_param.txt                           ;16112016      ;185754;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       15147;   ;Filtro    ;Terminado                               ;16112016      ;185754;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
932267458 ;       15147;   ;pago      ;inicio                                  ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
932267458 ;       15147;   ;pago      ;https://certificacion.webpay.cl         ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
932267458 ;       15147;   ;pago      ;https://certificacion.webpay.cl         ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
932267458 ;       15147;   ;pago      ;https://certificacion.webpay.cl         ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
932267458 ;       15147;   ;pago      ;https://certificacion.webpay.cl         ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
932267458 ;       15147;   ;pago      ;https://certificacion.webpay.cl         ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
932267458 ;       15147;   ;pago      ;https://certificacion.webpay.cl         ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
932267458 ;       15147;   ;pago      ;https://certificacion.webpay.cl         ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
932267458 ;       15147;   ;pago      ;https://certificacion.webpay.cl         ;16112016      ;185754;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
