          ;        2374;   ;Filtro    ;Inicio                                  ;24072016      ;212220;190.46.177.209 ;OK ;                    ;Inicio de filtrado                                                      
          ;        2374;   ;Filtro    ;tbk_param.txt                           ;24072016      ;212220;190.46.177.209 ;OK ;                    ;Archivo parseado                                                        
          ;        2374;   ;Filtro    ;Terminado                               ;24072016      ;212220;190.46.177.209 ;OK ;                    ;Datos Filtrados con exito                                               
939534001 ;        2374;   ;pago      ;inicio                                  ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;Parseo realizado                                                        
939534001 ;        2374;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
939534001 ;        2374;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;Mac generado                                                            
939534001 ;        2374;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
939534001 ;        2374;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
939534001 ;        2374;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;Datos listos para ser enviados                                          
939534001 ;        2374;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
939534001 ;        2374;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;Redireccion web                                                         
939534001 ;        2374;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;212220;190.46.177.209 ;OK ;597026007976        ;Todo OK                                                                 
          ;        2375;   ;resultado ;Desencriptando                          ;24072016      ;212317;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        2375;   ;resultado ;Validacion                              ;24072016      ;212317;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        2375;   ;resultado ;26                                      ;24072016      ;212317;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        2375;   ;resultado ;26                                      ;24072016      ;212317;200.10.12.55   ;OK ;                    ;http://testing.4tiempos.cl/modules/webpaykcc/validate.php               
939534001 ;        2375;   ;transacc  ;939534001                               ;24072016      ;212317;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
939534001 ;        2375;   ;resultado ;logro abrir_conexion                    ;24072016      ;212317;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
939534001 ;        2375;   ;transacc  ;939534001                               ;24072016      ;212317;200.10.12.55   ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
939534001 ;        2375;   ;transacc  ;939534001                               ;24072016      ;212317;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        2376;   ;check_mac ;                                        ;24072016      ;212317;EMPTY          ;OK ;                    ;Todo OK                                                                 
939534001 ;        2375;   ;transacc  ;939534001                               ;24072016      ;212318;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
939534001 ;        2375;   ;resultado ;26                                      ;24072016      ;212318;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
939534001 ;        2375;   ;resultado ;26                                      ;24072016      ;212318;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
939534001 ;        2375;   ;resultado ;26                                      ;24072016      ;212318;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;        3351;   ;Filtro    ;Inicio                                  ;24072016      ;221746;190.46.177.209 ;OK ;                    ;Inicio de filtrado                                                      
          ;        3351;   ;Filtro    ;tbk_param.txt                           ;24072016      ;221746;190.46.177.209 ;OK ;                    ;Archivo parseado                                                        
          ;        3351;   ;Filtro    ;Terminado                               ;24072016      ;221746;190.46.177.209 ;OK ;                    ;Datos Filtrados con exito                                               
939866672 ;        3351;   ;pago      ;inicio                                  ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;Parseo realizado                                                        
939866672 ;        3351;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
939866672 ;        3351;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;Mac generado                                                            
939866672 ;        3351;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
939866672 ;        3351;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
939866672 ;        3351;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;Datos listos para ser enviados                                          
939866672 ;        3351;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
939866672 ;        3351;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;Redireccion web                                                         
939866672 ;        3351;   ;pago      ;https://certificacion.webpay.cl         ;24072016      ;221746;190.46.177.209 ;OK ;597026007976        ;Todo OK                                                                 
