          ;       17388;   ;Filtro    ;Inicio                                  ;15062016      ;165008;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       17388;   ;Filtro    ;tbk_param.txt                           ;15062016      ;165008;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       17388;   ;Filtro    ;Terminado                               ;15062016      ;165008;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
600940878 ;       17388;   ;pago      ;inicio                                  ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
600940878 ;       17388;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
600940878 ;       17388;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
600940878 ;       17388;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
600940878 ;       17388;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
600940878 ;       17388;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
600940878 ;       17388;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
600940878 ;       17388;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
600940878 ;       17388;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165008;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;       17394;   ;Filtro    ;Inicio                                  ;15062016      ;165230;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       17394;   ;Filtro    ;tbk_param.txt                           ;15062016      ;165230;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       17394;   ;Filtro    ;Terminado                               ;15062016      ;165230;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
600955009 ;       17394;   ;pago      ;inicio                                  ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
600955009 ;       17394;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
600955009 ;       17394;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
600955009 ;       17394;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
600955009 ;       17394;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
600955009 ;       17394;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
600955009 ;       17394;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
600955009 ;       17394;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
600955009 ;       17394;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165230;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;       17396;   ;Filtro    ;Inicio                                  ;15062016      ;165359;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       17396;   ;Filtro    ;tbk_param.txt                           ;15062016      ;165359;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       17396;   ;Filtro    ;Terminado                               ;15062016      ;165359;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
600963916 ;       17396;   ;pago      ;inicio                                  ;15062016      ;165359;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
600963916 ;       17396;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165359;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
600963916 ;       17396;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165359;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
600963916 ;       17396;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165359;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
600963916 ;       17396;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165359;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
600963916 ;       17396;   ;pago      ;https://certificacion.webpay.cl         ;15062016      ;165359;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
